0,0
0,10
0,20
0,30
0,40
0,50
0,60
0,70
0,80
0,90
0,100
0,110
0,120
0,130
0,140
0,150
0,160
0,170
0,180
0,190
0,200
10,200
10,190
10,180
10,170
10,160
10,150
10,140
10,130
10,120
10,110
10,100
10,90
10,80
10,70
10,60
10,50
10,40
10,30
10,20
10,10
20,10
20,20
20,30
20,40
20,50
20,60
20,70
20,80
20,90
20,100
20,110
20,120
20,130
20,140
20,150
20,160
20,170
20,180
20,190
20,200
30,200
30,190
30,180
30,170
30,160
30,150
30,140
30,130
30,120
30,110
30,100
30,90
30,80
30,70
30,60
30,50
30,40
30,30
30,20
30,10
40,10
40,20
40,30
40,40
40,50
40,60
40,70
40,80
40,90
40,100
40,110
40,120
40,130
40,140
40,150
40,160
40,170
40,180
40,190
40,200
50,200
50,190
50,180
50,170
50,160
50,150
50,140
50,130
50,120
50,110
50,100
50,90
50,80
50,70
50,60
50,50
50,40
50,30
50,20
50,10
60,10
60,20
60,30
60,40
60,50
60,60
60,70
60,80
60,90
60,100
60,110
60,120
60,130
60,140
60,150
60,160
60,170
60,180
60,190
60,200
70,200
70,190
70,180
70,170
70,160
70,150
70,140
70,130
70,120
70,110
70,100
70,90
70,80
70,70
70,60
70,50
70,40
70,30
70,20
70,10
80,10
80,20
80,30
80,40
80,50
80,60
80,70
80,80
80,90
80,100
80,110
80,120
80,130
80,140
80,150
80,160
80,170
80,180
80,190
80,200
90,200
90,190
90,180
90,170
90,160
90,150
90,140
90,130
90,120
90,110
90,100
90,90
90,80
90,70
90,60
90,50
90,40
90,30
90,20
90,10
100,10
100,20
100,30
100,40
100,50
100,60
100,70
100,80
100,90
100,100
100,110
100,120
100,130
100,140
100,150
100,160
100,170
100,180
100,190
100,200
110,200
110,190
110,180
110,170
110,160
110,150
110,140
110,130
110,120
110,110
110,100
110,90
110,80
110,70
110,60
110,50
110,40
110,30
110,20
110,10
120,10
120,20
120,30
120,40
120,50
120,60
120,70
120,80
120,90
120,100
120,110
120,120
120,130
120,140
120,150
120,160
120,170
120,180
120,190
120,200
130,200
130,190
130,180
130,170
130,160
130,150
130,140
130,130
130,120
130,110
130,100
130,90
130,80
130,70
130,60
130,50
130,40
130,30
130,20
130,10
140,10
140,20
140,30
140,40
140,50
140,60
140,70
140,80
140,90
140,100
140,110
140,120
140,130
140,140
140,150
140,160
140,170
140,180
140,190
140,200
150,200
150,190
150,180
150,170
150,160
150,150
150,140
150,130
150,120
150,110
150,100
150,90
150,80
150,70
150,60
150,50
150,40
150,30
150,20
150,10
160,10
160,20
160,30
160,40
160,50
160,60
160,70
160,80
160,90
160,100
160,110
160,120
160,130
160,140
160,150
160,160
160,170
160,180
160,190
160,200
170,200
170,190
170,180
170,170
170,160
170,150
170,140
170,130
170,120
170,110
170,100
170,90
170,80
170,70
170,60
170,50
170,40
170,30
170,20
170,10
180,10
